,MI_Score
382,0.07222732738680504
312,0.06879905510207518
212,0.0681665544024399
393,0.06164668305973009
153,0.05395157808586981
42,0.051397731570523075
387,0.05089363509359912
147,0.0495659443543679
343,0.04866467583891698
142,0.048103218853372764
342,0.04709501382307946
152,0.045897782093993755
227,0.04561809056609489
22,0.045027365306248845
302,0.04470011819806152
62,0.04433622901831946
47,0.04376279169795527
52,0.04359934263856147
222,0.04336769404005836
267,0.04302057648842483
383,0.042423896659143256
313,0.04206645013232668
337,0.04075076170831004
187,0.040305447464627164
232,0.038526251518253285
327,0.03847642726851008
297,0.03844752332263823
365,0.03818986126508783
101,0.03810356356374811
86,0.03806817747728619
81,0.03803901313769131
105,0.0379896037957842
80,0.037959484209882155
172,0.0379215894501479
106,0.03787360727896283
111,0.037787435498303545
57,0.03771035768002606
100,0.03770521514361225
117,0.03762891630139953
130,0.037373370987059173
131,0.037304737531849486
366,0.03726311681835526
85,0.03718568317117632
136,0.03703552281032163
110,0.0370304869477599
126,0.03698879105817365
96,0.036789255008586985
79,0.03675016404511289
121,0.036680307367348175
37,0.03659022407461121
125,0.03649403882024849
179,0.03625719285955953
135,0.036195111320063256
0,0.035784725390778815
120,0.035406513059202505
74,0.03506909124817459
95,0.03504990165138144
1,0.034807417890321934
262,0.0347038866012882
116,0.0345105855413147
132,0.034458779666933226
89,0.03414583740908028
122,0.034093612287156794
141,0.03355143896372381
91,0.033480108139530174
217,0.033459773696980055
332,0.032853659042512584
140,0.03249030625235694
92,0.03203156456384482
137,0.032008888453223805
379,0.03183863756874217
4,0.031149421759979368
115,0.03106714767628016
184,0.030968950130792483
32,0.03094866705296162
5,0.030733281329548112
99,0.02995882281126183
143,0.029719374670852616
192,0.029711514133395567
76,0.02940300488479397
186,0.029201136315506915
171,0.029024358413853202
336,0.028856245545703763
375,0.02841194183923046
307,0.028330085664003746
226,0.028320567217364534
145,0.028211993629906673
225,0.027889864267301223
335,0.027863377006397405
369,0.027731783480767214
170,0.027714702284734938
300,0.02763515012983553
127,0.027580773978583606
197,0.027530776869988505
317,0.027401110851070443
370,0.02733639208353722
231,0.027274980293073292
90,0.027182855197598
207,0.027147094067479616
188,0.02702622782218156
230,0.02701357650055569
330,0.026998603163866264
374,0.026994856079075813
6,0.026856779575369583
75,0.026826226594202085
43,0.02664510851890889
146,0.02662601916021823
238,0.026551582206251867
331,0.02652150376960094
364,0.026519650035137454
63,0.02651808402266287
53,0.026470103769870135
27,0.026370210270939
376,0.02611080898096363
84,0.025950027226413708
301,0.025890665865836215
202,0.0257025139757443
104,0.025676356042180992
17,0.025619730251301487
296,0.02542090948533504
31,0.02539037394661814
213,0.025196455296896292
9,0.024833120964890654
148,0.024652297280011948
191,0.024516439983901628
204,0.024486446731551204
199,0.024365529029429567
12,0.02429378800259885
306,0.024251838497274192
252,0.024150753331710684
48,0.0241435023511809
292,0.024004363227611347
23,0.023941586808944315
303,0.02383999241655088
193,0.0238061341299447
322,0.023785280436397827
268,0.023747537897103155
371,0.023722062027811686
185,0.02350690978541725
295,0.023400732451461348
114,0.023359039322840558
269,0.02309552479456345
24,0.022984325371482872
228,0.022767352184049572
33,0.022647374697565836
109,0.022630156838473692
38,0.02259932326361702
360,0.022492177102968025
264,0.022361663787273667
10,0.0222719745408666
338,0.022240831091302704
190,0.0220875236670226
123,0.02187050693155812
298,0.021643628481155308
263,0.021446829110431942
133,0.02123649855844123
46,0.02113551695741589
138,0.02104046516914304
206,0.021013771710208684
328,0.020745131204979672
11,0.02063558842330837
26,0.020622338804789475
233,0.020499805964807716
67,0.020385651966525753
51,0.020188136604155416
69,0.019997566434268088
256,0.019801060972706508
208,0.01972443907178978
41,0.01970126260256544
325,0.019637575791928708
182,0.019610291031070592
18,0.019470594259669127
209,0.019450595265378734
21,0.01943233676283218
50,0.01938615204555505
28,0.01919268738964186
198,0.01918757953415684
128,0.01905818496527123
45,0.019049986400059726
391,0.018944986634259142
392,0.01886559813212696
266,0.01873695096736916
210,0.0187263414741059
211,0.018662643246587618
326,0.01846853835616591
124,0.018449156472341466
261,0.018145399144808838
308,0.018107868298705143
201,0.018107187026055738
257,0.01803942168837802
196,0.018029316517155558
93,0.017920894817312738
220,0.017899700438988142
30,0.017896936701619626
58,0.017834195266675956
16,0.01772058110667929
333,0.017640026446117507
44,0.017623060807276048
40,0.017608362015865575
173,0.017453317164021875
203,0.017429267436313345
3,0.017355389848980995
36,0.017322109074394687
20,0.01723130779772397
205,0.01686379604726207
265,0.016780461228209753
181,0.01676452202141976
259,0.016734545258800138
59,0.016678050588066595
378,0.016671937077874954
174,0.016587647645362136
305,0.0165533023394554
118,0.016497444732502697
167,0.016472967424831286
66,0.016369298713615477
25,0.016287279448574665
390,0.016281908186445815
65,0.016025449380650092
94,0.016010905269094544
200,0.015988947449082525
61,0.015843694903244998
194,0.015808616937552866
39,0.015786526986736216
119,0.015507326939511956
215,0.015368319179838386
60,0.01535580035822548
15,0.015323663753594063
377,0.015059633228415858
320,0.015012398848559427
13,0.014953403500863716
19,0.014907280286209468
291,0.014902811575408736
175,0.01457215576734272
49,0.014527774002555893
255,0.014335247600146372
165,0.014269991844327534
68,0.014136380381059244
372,0.014028845940479484
56,0.013985599836438989
290,0.013957335882735067
169,0.0139225379682274
258,0.013526455849897201
35,0.013236481185472049
7,0.013228090474214471
183,0.01317814238904158
177,0.013000372063509236
195,0.012950013021693962
129,0.012839493385973677
139,0.01283449857826402
29,0.01279311261362659
362,0.012776839086798164
134,0.01271954672549458
236,0.012652083056992613
321,0.01264829141514201
218,0.012632787378068722
260,0.012507220090418603
237,0.01250359344856622
311,0.012498240061815657
77,0.012484538657969169
373,0.012465486269000792
386,0.0124461327834674
340,0.012427309398294395
380,0.012423185755945254
235,0.012402642436241229
385,0.012396534869609344
310,0.012373459994805436
388,0.012322526540618495
150,0.012318043380711075
271,0.012300225518113161
223,0.012285293618270354
381,0.012254974897546567
166,0.012249883981350296
270,0.012239858071447562
341,0.012175949361921456
151,0.012141047210259548
273,0.011885562953972806
323,0.01184932357080315
272,0.011815319187074125
107,0.011586556830213368
334,0.011521275336723757
178,0.011223159409463612
221,0.011194091636846704
55,0.01118289271284223
309,0.011125588645141349
98,0.01098196852139477
361,0.01097882508214243
216,0.01095102305918394
72,0.010942938140648839
234,0.010822784626592363
368,0.01069549582693341
229,0.01066559270775258
318,0.010444502992967508
293,0.010411853372320201
64,0.010387102221069089
168,0.010299787286058293
78,0.01012023556673558
97,0.01002295393551944
367,0.00990647858021021
180,0.009472741914736349
82,0.009356964322518646
70,0.009344954138753359
34,0.008909675691073815
108,0.008903395262664482
102,0.008874817872689289
14,0.008832191468697181
73,0.008777445556591323
8,0.008487846050222347
83,0.00838164844469147
253,0.00820512185166633
339,0.00784775749509703
344,0.007822098477060835
71,0.0078035306549868455
176,0.007682395180288792
316,0.007594639404105874
112,0.007291860008347806
103,0.007138796540504977
324,0.006852667216737163
251,0.006585196295568974
144,0.006512567533256908
315,0.006359643342314203
87,0.006172873863025008
363,0.005791221728287166
250,0.005558530483627866
113,0.005481315532669284
88,0.005367847268377579
384,0.0050700087079290634
2,0.00454670120181544
224,0.004457861760423287
319,0.004331168832807264
219,0.0038569695951101712
304,0.00368566291823591
189,0.003597627067099096
394,0.003538921930610006
329,0.0033071393717093445
314,0.0029739017863733563
389,0.002945332742968154
248,0.0028789848130867934
299,0.0022775072059862955
294,0.0020902004971041777
214,0.0011115522660362087
239,0.0008940175226374025
247,0.000857732057414462
245,0.000797091390260185
254,0.0007778556330823028
243,0.0007392996086511561
149,0.0007024689363164249
242,0.0005049762200598495
246,0.0004982343519089882
54,0.0004362597325482387
240,0.0003964590627777431
241,0.0003275773888371525
274,0.00030756361195793946
154,0.00029180068064060816
158,5.9411297949618636e-05
249,3.0290913890840265e-05
155,0.0
244,0.0
156,0.0
157,0.0
